id          ,viewCount  ,likeCount ,commentCount
da_Q6kz1_Gc ,18844850   ,   132604 ,         908
9fjRa3AjTjs ,485220     ,     2171 ,          42
jks3ItCD2Xc ,6556110    ,   317281 ,        2243
v9oxyswY8fs ,69085315   ,   129247 ,            
inzTSt0JXPo ,354666     ,     2216 ,          66
a7d0j4qeCzQ ,20162540   ,   447556 ,         450
HaoKENcPIrQ ,15064317   ,   556565 ,        2992
RvOzuxTHNWo ,38459900   ,  1897841 ,        2344
V1Ticoqoidc ,20448264   ,   181478 ,         145
6CQ-3-0fyA0 ,788597     ,    47527 ,          70
BqBypcdJEE4 ,53508544   ,   787894 ,            
9PXc3ItdZnc ,6506110    ,    50950 ,         273
D6PVVb3KedA ,1937599    ,   108972 ,         186
ILu5rU5dfzk ,50312899   ,   852133 ,        3605
kzjhFMuIRSA ,137945     ,      520 ,           0
bB83Ad-s29M ,5570476    ,   427162 ,         262
gcprxrNRsVw ,214306173  ,  2223512 ,        2280
fyzPy_VppVI ,5915759    ,   326967 ,         423
ivFGReq8eGE ,589007     ,        0 ,            
oaEtJsP5mRU ,24630056   ,  1438546 ,        5760
LlFOcoE8RfY ,27165904   ,  1592311 ,        1724
-keDS6v5x0E ,14765718   ,   717762 ,         316
vcv7uzJWgi0 ,31824902   ,   784546 ,         501
aA8M81yz7zY ,60401      ,     4414 ,         103
qqoO3IjViMc ,6533147    ,   355128 ,         545
fJXLTaFSmv8 ,19412831   ,   207151 ,          61
qx7-v4UkPV0 ,139484     ,    13275 ,          25
jcQ3i7bSZL8 ,161804     ,    10843 ,          63
D0HNjDtbiZo ,12475871   ,    45414 ,         825
mRBwaw6ef_E ,8464449    ,   538263 ,         764
fbE6VYnBMdQ ,184037     ,    12195 ,          95
LfjkYDqelNI ,656101     ,     2672 ,          48
NTP8fdL_xgI ,218903939  ,  3809058 ,        6157
Snh1AEPyzD0 ,70130355   ,  1738500 ,        3264
t7Pp_51_5GE ,2895507    ,   128451 ,         153
pqwsEilhhhs ,834311     ,     3251 ,         301
z1AaUlFf9xY ,1845747    ,     9551 ,         137
rrMiZO5gJHw ,9693157    ,    61436 ,         998
AUdYuVC3OEA ,1119574    ,    12736 ,         139
z7-yoZ4Ofk0 ,13437022   ,   390254 ,            
1ENAvF0h_yc ,2080024    ,     8348 ,         157
KI3qD4vrcp8 ,3583728    ,    25126 ,         303
J42YdOLQPLo ,1453720    ,     6541 ,          68
3y-r7nRoo0M ,1130527    ,    22093 ,         867
Zg1U6hL5vyk ,2453917    ,    53200 ,        2242
MYL5iB_c5BI ,3423332    ,    82305 ,        2075
ryM1f71rg8Y ,18099587   ,    54892 ,            
wOEB8myz2KQ ,7464686    ,   110536 ,        3624
liK87I1yM3s ,7301278    ,    35568 ,         772
MvC5LZ-OGMI ,1522893    ,    25011 ,        1097
LrfhKzK2vtk ,3118513    ,    24208 ,         290
BaKCdsA1a6A ,1168916    ,    67409 ,         313
I7gmgl1Mfbs ,1199151    ,     5887 ,          98
ct8tVBrX3d8 ,973099     ,    47826 ,        2647
ZvwVA42eE6I ,4570717    ,    32171 ,            
1_4wAqXDjlI ,9851164    ,   173426 ,        3415
J-q8keU3_8w ,580994     ,     3738 ,          41
on6XdLxLjYM ,1536333    ,     6570 ,         201
eTXjWWz3txk ,1331834    ,    33274 ,        1043
